signal_date,code,name,rank,popularity_score,source,capture_type,snapshot_time,first_seen_date,appearance_count,consecutive_days,previous_rank,rank_change,price_status,price_date,open,close,high,low,volume,day_return_pct,pre3_return_pct,pre5_return_pct,close_position,volume_ratio_5,dist_ma5_pct,dist_ma10_pct,dist_ma20_pct,dist_high60_pct,upper_shadow_pct,limit_up_like,one_word_like,price_lag_days
2026-04-10,002131,利欧股份,49,2190.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,8.01,7.99,8.14,7.93,4946956.0,-0.12,10.51,7.25,0.286,1.11,4.34,4.1,4.53,-23.17,0.619,False,False,0.0
2026-04-10,600703,三安光电,50,2096.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,11.85,11.94,12.25,11.71,2858592.0,0.84,-0.67,4.74,0.426,1.27,-0.27,-0.09,-13.99,-36.39,0.574,False,False,0.0
2026-04-10,600522,中天科技,51,2079.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,31.38,29.8,31.4,29.5,2575517.0,-5.1,-1.49,1.64,0.158,1.43,-2.5,0.19,5.41,-7.4,0.011,False,False,0.0
2026-04-10,300274,阳光电源,52,2045.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,125.61,130.79,133.0,125.61,1049795.0,5.65,6.96,2.78,0.701,1.4,4.27,-3.84,-14.14,-28.13,0.299,False,False,0.0
2026-04-10,000559,万向钱潮,53,2023.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,15.47,16.32,16.84,15.4,1847077.0,6.6,9.9,7.09,0.639,3.85,6.02,5.86,4.26,-25.14,0.361,False,False,0.0
2026-04-10,300476,胜宏科技,54,2002.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,279.01,287.78,293.81,277.0,484517.0,4.26,9.47,12.82,0.641,1.48,4.85,8.72,6.93,-11.13,0.359,False,False,0.0
2026-04-10,002432,九安医疗,55,1981.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,89.18,92.75,94.8,88.25,272445.0,5.39,11.94,14.29,0.687,0.74,7.27,14.2,31.37,-2.16,0.313,False,False,0.0
2026-04-10,002202,金风科技,56,1968.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,24.02,24.07,24.77,24.01,2016803.0,0.96,5.16,0.25,0.079,0.84,1.25,-3.63,-11.21,-35.0,0.921,False,False,0.0
2026-04-10,601899,紫金矿业,57,1932.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,34.23,33.75,34.58,33.7,2375710.0,-0.44,4.13,1.9,0.057,1.01,0.69,1.4,1.47,-24.9,0.398,False,False,0.0
2026-04-10,600410,华胜天成,58,1911.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,27.66,27.06,28.06,27.06,1596247.0,-1.06,5.7,7.64,0.0,0.96,1.71,4.15,3.54,-21.13,0.4,False,False,0.0
2026-04-10,000425,徐工机械,59,1904.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,10.71,10.61,10.79,10.58,791118.0,0.09,6.21,3.01,0.143,0.95,1.51,2.6,1.46,-17.75,0.381,False,False,0.0
2026-04-10,600654,中安科,60,1889.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,4.48,4.08,4.51,4.05,5285355.0,-8.93,2.0,23.26,0.065,1.96,-0.97,9.21,14.08,-15.7,0.065,False,False,0.0
