strategy_version,signal_date,code,name,rank,push_level,emotion_score,is_pushed,capture_type,snapshot_time,reasons,risks,price_date,signal_close,latest_price_date,observed_days,latest_return_pct,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,tail_next_max_drawdown_pct,settled_tail_next_day,open_buy_date,open_buy_price,return_1d_pct,max_gain_1d_pct,max_drawdown_1d_pct,settled_1d,open_buy_return_1d_pct,open_buy_max_gain_1d_pct,open_buy_max_drawdown_1d_pct,settled_open_buy_1d,return_3d_pct,max_gain_3d_pct,max_drawdown_3d_pct,settled_3d,open_buy_return_3d_pct,open_buy_max_gain_3d_pct,open_buy_max_drawdown_3d_pct,settled_open_buy_3d,return_5d_pct,max_gain_5d_pct,max_drawdown_5d_pct,settled_5d,open_buy_return_5d_pct,open_buy_max_gain_5d_pct,open_buy_max_drawdown_5d_pct,settled_open_buy_5d,return_10d_pct,max_gain_10d_pct,max_drawdown_10d_pct,settled_10d,open_buy_return_10d_pct,open_buy_max_gain_10d_pct,open_buy_max_drawdown_10d_pct,settled_open_buy_10d
v2,2026-04-10,002309,中利集团,31,不推送,0.0,False,post_close,2026-04-10 15:00:00,人气Top50；站上20日线且不过热,当日转弱；收盘承接偏弱；近5日趋势未确认,2026-04-10,4.4,2026-07-21,68,-37.27,-0.23,1.14,4.09,-5.0,True,2026-04-13,4.39,1.14,4.09,-5.0,True,1.37,4.33,-4.78,True,-8.41,4.09,-8.64,True,-8.2,4.33,-8.43,True,-9.55,4.09,-10.0,True,-9.34,4.33,-9.79,True,-6.36,4.09,-10.0,True,-6.15,4.33,-9.79,True
v2,2026-04-10,002594,比亚迪,32,不推送,32.0,False,post_close,2026-04-10 15:00:00,人气Top50；收盘承接较强；温和放量,-,2026-04-10,101.67,2026-08-21,91,-11.02,-0.1,2.54,3.27,-0.85,True,2026-04-13,101.57,2.54,3.27,-0.85,True,2.64,3.37,-0.75,True,1.34,3.27,-0.85,True,1.44,3.37,-0.75,True,2.08,4.23,-0.85,True,2.18,4.33,-0.75,True,-2.17,4.23,-2.92,True,-2.08,4.33,-2.83,True
v2,2026-04-10,300502,新易盛,33,普通观察,60.0,True,post_close,2026-04-10 15:00:00,人气Top50；当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热,-,2026-04-10,522.5,2026-07-28,73,-22.12,-0.86,-1.87,-0.1,-4.3,True,2026-04-13,518.0,-1.87,-0.1,-4.3,True,-1.02,0.77,-3.47,True,-4.88,3.14,-6.22,True,-4.06,4.03,-5.4,True,12.73,12.91,-6.22,True,13.71,13.9,-5.4,True,2.83,20.15,-6.22,True,3.72,21.2,-5.4,True
v2,2026-04-10,002837,英维克,34,不推送,44.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日上涨；放量仍可控；近5日趋势升温；站上20日线且不过热,-,2026-04-10,99.05,2026-07-22,69,-38.91,0.01,3.85,4.29,0.0,True,2026-04-13,99.06,3.85,4.29,0.0,True,3.84,4.28,-0.01,True,6.32,12.77,0.0,True,6.31,12.76,-0.01,True,11.73,13.71,0.0,True,11.72,13.7,-0.01,True,-26.19,13.71,-27.13,True,-26.2,13.7,-27.14,True
v2,2026-04-10,600110,诺德股份,35,不推送,20.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,9.88,2026-07-21,68,-5.47,-3.34,3.14,4.76,-3.34,True,2026-04-13,9.55,3.14,4.76,-3.34,True,6.7,8.38,0.0,True,3.74,10.12,-3.34,True,7.33,13.93,0.0,True,1.11,10.12,-3.34,True,4.61,13.93,0.0,True,-1.21,10.12,-12.65,True,2.2,13.93,-9.63,True
v2,2026-04-10,601179,中国西电,36,不推送,22.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量,-,2026-04-10,16.08,2026-07-29,74,-14.99,-1.12,-1.62,-0.75,-3.61,True,2026-04-13,15.9,-1.62,-0.75,-3.61,True,-0.5,0.38,-2.52,True,10.07,10.7,-3.61,True,11.32,11.95,-2.52,True,6.9,10.7,-3.61,True,8.11,11.95,-2.52,True,7.03,15.11,-3.61,True,8.24,16.42,-2.52,True
v2,2026-04-10,603773,沃格光电,37,重点观察,75.0,True,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热；v2强势延续修正；v2低分涨停修正,短线涨幅偏高,2026-04-10,43.14,2026-07-21,68,96.22,-2.97,1.99,5.24,-2.97,True,2026-04-13,41.86,1.99,5.24,-2.97,True,5.11,8.46,0.0,True,14.79,14.79,-2.97,True,18.3,18.3,0.0,True,22.62,22.62,-2.97,True,26.37,26.37,0.0,True,35.14,52.99,-2.97,True,39.27,57.67,0.0,True
v2,2026-04-10,600111,北方稀土,38,不推送,20.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,51.75,2026-07-21,68,-23.94,2.51,1.14,3.09,0.27,True,2026-04-13,53.05,1.14,3.09,0.27,True,-1.34,0.57,-2.19,True,-4.54,3.09,-4.81,True,-6.88,0.57,-7.14,True,-4.89,3.09,-5.51,True,-7.22,0.57,-7.82,True,-8.71,3.09,-10.3,True,-10.95,0.57,-12.5,True
v2,2026-04-10,002491,通鼎互联,39,不推送,20.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,14.59,2026-08-14,86,34.68,-2.81,1.58,6.58,-4.87,True,2026-04-13,14.18,1.58,6.58,-4.87,True,4.51,9.66,-2.12,True,-2.67,6.58,-4.87,True,0.14,9.66,-2.12,True,3.7,9.46,-5.89,True,6.7,12.62,-3.17,True,7.27,24.74,-5.89,True,10.37,28.35,-3.17,True
v2,2026-04-10,002709,天赐材料,40,不推送,56.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日强涨；收在日内高位；放量仍可控；站上20日线且不过热,-,2026-04-10,46.72,2026-08-06,80,-15.99,-2.44,-0.66,0.51,-2.83,True,2026-04-13,45.58,-0.66,0.51,-2.83,True,1.82,3.03,-0.39,True,2.1,6.36,-2.83,True,4.65,9.02,-0.39,True,3.79,7.79,-2.83,True,6.38,10.49,-0.39,True,12.89,15.41,-2.83,True,15.71,18.3,-0.39,True
v2,2026-04-10,000592,平潭发展,41,不推送,4.0,False,post_close,2026-04-10 15:00:00,人气Top50；温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱；近5日趋势未确认,2026-04-10,11.43,2026-08-03,77,-45.76,6.3,2.27,9.36,1.75,True,2026-04-13,12.15,2.27,9.36,1.75,True,-3.79,2.88,-4.28,True,-0.87,9.36,-3.94,True,-6.75,2.88,-9.63,True,-4.29,9.36,-4.37,True,-9.96,2.88,-10.04,True,-6.12,9.36,-7.0,True,-11.69,2.88,-12.51,True
v2,2026-04-10,603986,兆易创新,42,不推送,52.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日上涨；收盘承接较强；温和放量；近5日趋势升温,-,2026-04-10,265.09,2026-07-22,69,77.3,-1.54,-1.11,1.79,-1.58,True,2026-04-13,261.0,-1.11,1.79,-1.58,True,0.44,3.39,-0.04,True,3.08,8.23,-1.58,True,4.69,9.92,-0.04,True,8.72,11.25,-1.58,True,10.43,12.99,-0.04,True,12.02,22.7,-1.58,True,13.77,24.62,-0.04,True
v2,2026-04-10,000889,中嘉博创,43,不推送,53.0,False,post_close,2026-04-10 15:00:00,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热；v2低分涨停修正,放量过猛；短线涨幅偏高,2026-04-10,4.35,2026-07-22,69,-8.28,-1.61,-9.89,0.0,-9.89,True,2026-04-13,4.28,-9.89,0.0,-9.89,True,-8.41,1.64,-8.41,True,8.97,8.97,-10.57,True,10.75,10.75,-9.11,True,21.61,25.06,-10.57,True,23.6,27.1,-9.11,True,10.11,25.29,-10.57,True,11.92,27.34,-9.11,True
