signal_date,code,name,rank,push_level,emotion_score,observed_days,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,latest_return_pct,best_return_available,return_3d_pct,return_5d_pct,open_buy_return_3d_pct,open_buy_return_5d_pct,return_10d_pct,max_gain_3d_pct,max_gain_5d_pct,max_gain_10d_pct,reasons,risks,strategy_version
2026-05-27,601138,工业富联,22,不推送,17.45,28,-0.11,7.02,8.85,-8.99,21.22,5.24,15.65,5.36,15.79,1.5,13.63,21.22,21.22,人气Top50；温和放量；站上20日线且不过热；持续霸榜；人气排名明显上升；震荡市里保持相对强势,收盘承接偏弱；热度可能进入后段；上影线偏长；v3尾盘版回避高位长连榜,v3
2026-06-25,300088,长信科技,90,不推送,8.6,8,3.04,14.52,21.2,-12.76,21.2,13.84,3.14,10.48,0.1,,21.2,21.2,,当日上涨；温和放量；站上20日线且不过热；市场强势且个股相对强势,收盘承接偏弱；近5日趋势未确认；人气排名明显回落；上影线偏长,v3
2026-06-02,603629,利通电子,7,不推送,40.6,24,10.07,20.09,21.18,-35.83,21.18,4.21,-33.74,-5.33,-39.8,-5.78,21.18,21.18,21.18,人气Top10；当日上涨；收盘承接较强；持续霸榜；市场强势且个股相对强势,近5日趋势未确认；热度可能进入后段；v3尾盘版回避高位长连榜,v3
2026-04-13,300390,天华新能,41,不推送,61.0,57,-4.45,1.06,1.3,20.02,21.17,6.83,7.99,11.81,13.02,17.49,10.82,13.47,21.17,人气Top50；当日涨停附近；收盘承接较强；温和放量；近5日强势延续；连续上榜确认,短线涨幅偏高；偏离20日线较大；人气排名明显回落,v3
2026-06-11,688146,中船特气,41,观察池,28.3,14,-5.04,-12.31,-2.16,-8.19,21.16,-6.21,5.76,-1.22,11.38,10.01,6.0,6.06,21.16,人气Top50；当日涨停附近；收在日内高位；连续上榜确认；弱市中个股相对抗跌,量能不足；短线涨幅过热；远离20日线过多；涨停封板不可买,v3
2026-06-01,000636,风华高科,9,不推送,25.5,25,-2.57,9.15,10.33,11.61,21.15,15.69,1.17,18.74,3.83,18.47,17.67,17.67,21.15,人气Top10；当日上涨；温和放量；近5日强势延续；持续霸榜,短线涨幅偏高；远离20日线过多；热度可能进入后段；弱市先收缩执行；弱市里的长连榜样本优先降权；v3尾盘版回避高位长连榜,v3
2026-05-26,600726,华电能源,40,不推送,64.45,29,-12.57,-6.9,-6.9,-32.15,21.13,12.68,2.78,28.88,17.56,0.67,12.68,21.13,21.13,人气Top50；温和放量；近5日强势延续；站上20日线且不过热；连续上榜确认；人气排名明显上升；震荡市里保持相对强势；v2连榜升温修正；v3热点早段优先,短线涨幅偏高,v3
2026-06-15,300502,新易盛,30,不推送,0.0,15,7.02,8.5,11.02,0.81,21.12,14.91,9.09,7.38,1.94,19.96,16.2,16.8,21.12,人气Top50；温和放量；站上20日线且不过热；持续霸榜,当日转弱；收盘承接偏弱；近5日趋势未确认；热度可能进入后段；强势市里个股相对走弱；v3尾盘版回避高位长连榜,v3
2026-05-25,300308,中际旭创,47,不推送,60.6,30,-0.99,1.21,1.85,2.94,21.12,9.93,3.69,11.03,4.73,5.98,10.09,11.03,21.12,人气Top50；当日上涨；收在日内高位；温和放量；站上20日线且不过热；持续霸榜；人气排名明显上升；市场强势且个股相对强势,热度可能进入后段；v3尾盘版回避高位长连榜,v3
2026-05-08,600726,华电能源,42,不推送,22.6,41,-0.8,4.28,6.02,-18.45,21.12,13.24,1.87,14.15,2.7,-15.91,13.24,21.12,21.12,人气Top50；温和放量；近5日趋势升温；连续上榜确认；市场强势且个股相对强势,当日转弱；收盘承接偏弱；偏离20日线较大,v3
2026-05-06,688041,海光信息,10,普通观察,76.0,44,8.73,16.26,20.0,15.65,21.11,9.12,17.87,0.37,8.41,5.27,20.0,21.11,21.11,人气Top10；当日上涨；温和放量；近5日趋势升温；站上20日线且不过热；人气排名明显上升；v3热点早段优先,-,v3
2026-04-30,002342,巨力索具,11,不推送,48.0,44,-0.86,1.46,3.94,-49.02,21.1,11.56,2.93,12.53,3.82,-20.6,21.1,21.1,21.1,人气Top20；当日上涨；温和放量；站上20日线且不过热；持续霸榜；人气排名明显上升,热度可能进入后段；v3尾盘版回避高位长连榜,v3
2026-06-02,601869,长飞光纤,16,观察池,126.6,24,3.49,8.87,10.0,5.0,21.1,8.06,18.49,4.41,14.5,13.54,19.17,19.17,21.1,人气Top20；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v2强势延续修正；v2低分涨停修正；v3热点早段优先,涨停封板不可买,v3
2026-06-03,603618,杭电股份,85,不推送,23.73,23,-0.47,2.01,4.92,-7.09,21.09,-8.01,-6.6,-7.57,-6.16,21.09,8.71,8.71,21.09,温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；震荡市里保持相对强势,收盘承接偏弱；人气排名明显回落；后段人气股在偏弱环境里更谨慎；v3尾盘承接一般,v3
2026-06-08,000725,京东方A,2,不推送,19.3,20,2.72,3.19,5.11,21.09,21.09,-7.83,-6.39,-10.26,-8.86,8.15,5.11,5.11,14.7,人气Top3；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜,当日转弱；收盘承接偏弱；热度可能进入后段；弱市先收缩执行；弱市里的长连榜样本优先降权；Top3高热度拥挤，次日兑现风险；v3尾盘版回避高位长连榜,v3
2026-05-27,002181,粤传媒,42,不推送,29.45,28,-2.0,6.67,8.53,-41.33,21.07,21.07,5.27,23.54,7.41,7.27,21.07,21.07,21.07,人气Top50；当日上涨；温和放量；连续上榜确认；震荡市里保持相对强势,仍在20日线下方；v3尾盘承接一般,v3
2026-05-21,000518,四环生物,40,观察池,62.3,32,8.53,10.13,10.13,-4.8,21.07,9.07,-5.07,0.49,-12.53,-2.93,21.07,21.07,21.07,人气Top50；当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；弱市中个股相对抗跌；v2低分涨停修正；v3热点早段优先,放量过猛；v3尾盘版回避放量过猛；涨停封板不可买,v3
2026-05-22,600487,亨通光电,46,不推送,22.6,31,-14.14,-13.77,-13.38,-4.63,21.07,-19.34,-9.4,-6.06,5.52,13.0,-13.38,-8.91,21.07,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；市场强势且个股相对强势,当日转弱；收盘承接偏弱；热度可能进入后段；v3尾盘版回避高位长连榜,v3
2026-04-16,002181,粤传媒,100,不推送,62.0,54,-2.64,0.66,3.67,-35.39,21.07,-1.69,-3.67,0.98,-1.06,21.07,6.09,6.09,21.07,当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；v3尾盘缩量强承接,-,v3
