signal_date,code,name,rank,push_level,emotion_score,observed_days,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,latest_return_pct,best_return_available,return_3d_pct,return_5d_pct,open_buy_return_3d_pct,open_buy_return_5d_pct,return_10d_pct,max_gain_3d_pct,max_gain_5d_pct,max_gain_10d_pct,reasons,risks,strategy_version
2026-04-16,603986,兆易创新,43,观察池,74.0,41,-1.21,0.52,2.85,104.39,104.39,6.55,6.04,7.86,7.34,8.9,7.51,13.44,13.44,人气Top50；当日上涨；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；人气排名明显上升,热度可能进入后段；v1每日精选未入前5,v1
2026-04-15,002491,通鼎互联,76,不推送,0.0,42,-1.76,10.0,10.0,102.18,102.18,17.18,21.27,19.28,23.44,16.69,17.18,23.24,28.17,温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱；近5日趋势未确认；人气排名明显回落,v1
2026-04-20,002281,光迅科技,78,不推送,20.0,39,-0.87,1.45,2.72,101.58,101.58,9.69,12.05,10.66,13.04,36.85,12.44,17.83,38.19,温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认,收盘承接偏弱；人气排名明显回落；上影线偏长,v1
2026-04-16,300433,蓝思科技,18,不推送,0.0,41,-0.7,1.37,3.35,99.73,99.73,4.68,3.74,5.42,4.48,0.2,8.46,8.46,8.46,人气Top20,当日转弱；收盘承接偏弱；近5日趋势未确认；仍在20日线下方,v1
2026-04-17,600487,亨通光电,2,观察池,74.0,40,4.85,9.42,9.6,99.46,99.46,18.2,24.96,12.73,19.18,29.02,18.2,28.12,33.85,人气Top3；当日上涨；收盘承接较强；温和放量；站上20日线且不过热；持续霸榜；人气排名明显上升,近5日趋势未确认；热度可能进入后段；v1每日精选未入前5,v1
2026-04-21,603618,杭电股份,14,不推送,52.0,38,1.81,10.02,10.02,99.34,99.34,17.76,11.98,15.67,9.99,44.97,27.67,27.67,44.97,人气Top20；收在日内高位；近5日趋势升温；站上20日线且不过热,-,v1
2026-04-22,600396,华电辽能,15,强推观察,92.0,37,3.91,9.96,9.96,99.11,99.11,13.2,16.67,8.93,12.27,53.02,20.81,26.4,53.02,人气Top20；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；v1每日精选入选,热度可能进入后段,v1
2026-04-21,002281,光迅科技,72,不推送,52.0,38,-0.24,1.79,3.13,98.7,98.7,5.67,12.49,5.93,12.76,48.39,11.4,16.15,48.39,收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认,-,v1
2026-04-13,603002,宏昌电子,75,不推送,52.0,44,1.11,10.01,10.01,98.46,98.46,10.27,13.6,9.05,12.35,29.6,20.96,20.96,31.05,当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热,-,v1
2026-04-10,600487,亨通光电,23,不推送,8.0,45,-1.75,-4.45,-0.05,98.29,98.29,-6.88,-0.59,-5.22,1.18,24.22,-0.05,0.21,27.37,人气Top50；温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱,v1
2026-04-17,300433,蓝思科技,32,不推送,18.0,40,3.42,4.66,7.0,97.04,97.04,4.85,-0.12,1.38,-3.42,2.42,7.0,7.0,7.0,人气Top50；温和放量；连续上榜确认,近5日趋势未确认；仍在20日线下方,v1
2026-05-22,000636,风华高科,43,不推送,48.0,18,9.99,9.99,9.99,96.86,96.86,17.54,40.96,6.86,28.15,58.56,19.59,42.21,71.69,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；人气排名明显上升；市场强势且个股相对强势；收盘强势，次日确认,量能不足；短线涨幅偏高；偏离20日线较大；次日高开或一字风险,v1
2026-04-10,002491,通鼎互联,39,不推送,20.0,45,-2.81,1.58,6.58,96.78,96.78,-2.67,3.7,0.14,6.7,7.27,6.58,9.46,24.74,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,v1
2026-05-22,301526,国际复材,82,观察池,75.0,18,2.54,5.22,6.54,96.34,96.34,5.32,13.96,2.71,11.14,6.15,12.59,22.01,22.01,当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势；收盘强势，次日确认,次日高开或一字风险；v1每日精选未入前5,v1
2026-04-14,002980,华盛昌,51,观察池,67.0,43,6.69,9.98,9.99,95.74,95.74,14.0,28.16,6.85,20.12,32.62,14.0,31.31,35.95,当日涨停附近；收在日内高位；温和放量；近5日强势延续；连续上榜确认；人气排名明显上升,短线涨幅偏高；偏离20日线较大；v1每日精选未入前5,v1
