strategy_version,generated_at,group_name,group_value,metric_key,metric_label,metric_column,settled_column,sample_count,pushed_count,valid_count,avg_return_pct,win_rate_pct,strong_rate_pct
v1,2026-07-25T04:22:17,人气排名段,Top3,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,216,34,196,-1.77,38.27,20.41
v1,2026-07-25T04:22:17,人气排名段,Top3,10d,10日收益,return_10d_pct,settled_10d,216,34,180,-1.46,43.33,25.0
v1,2026-07-25T04:22:17,人气排名段,Top50,latest,至今收益,latest_return_pct,,2163,110,2078,-19.25,15.98,7.27
v1,2026-07-25T04:22:17,人气排名段,Top50,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,2163,110,2078,-0.15,39.85,2.5
v1,2026-07-25T04:22:17,人气排名段,Top50,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,2163,110,2078,0.09,46.73,8.47
v1,2026-07-25T04:22:17,人气排名段,Top50,1d,1日收益,return_1d_pct,settled_1d,2163,110,2078,0.09,46.73,8.47
v1,2026-07-25T04:22:17,人气排名段,Top50,3d,3日收益,return_3d_pct,settled_3d,2163,110,2016,-0.44,44.0,16.67
v1,2026-07-25T04:22:17,人气排名段,Top50,5d,5日收益,return_5d_pct,settled_5d,2163,110,1950,-0.82,42.72,20.21
v1,2026-07-25T04:22:17,人气排名段,Top50,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,2163,110,2078,0.26,48.8,4.09
v1,2026-07-25T04:22:17,人气排名段,Top50,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,2163,110,2016,-0.29,45.04,15.13
v1,2026-07-25T04:22:17,人气排名段,Top50,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,2163,110,1950,-0.69,43.44,18.82
v1,2026-07-25T04:22:17,人气排名段,Top50,10d,10日收益,return_10d_pct,settled_10d,2163,110,1791,-1.31,42.6,24.12
v1,2026-07-25T04:22:17,上榜阶段,连续4天及以上,latest,至今收益,latest_return_pct,,3071,107,2941,-19.94,15.4,5.78
v1,2026-07-25T04:22:17,上榜阶段,连续4天及以上,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,3071,107,2941,0.03,39.1,2.82
v1,2026-07-25T04:22:17,上榜阶段,连续4天及以上,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,3071,107,2941,0.23,46.45,7.65
v1,2026-07-25T04:22:17,上榜阶段,连续4天及以上,1d,1日收益,return_1d_pct,settled_1d,3071,107,2941,0.23,46.45,7.65
v1,2026-07-25T04:22:17,上榜阶段,连续4天及以上,3d,3日收益,return_3d_pct,settled_3d,3071,107,2836,-0.7,42.28,16.22
v1,2026-07-25T04:22:17,上榜阶段,连续4天及以上,5d,5日收益,return_5d_pct,settled_5d,3071,107,2740,-1.1,42.55,19.64
v1,2026-07-25T04:22:17,上榜阶段,连续4天及以上,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,3071,107,2941,0.21,49.3,3.81
v1,2026-07-25T04:22:17,上榜阶段,连续4天及以上,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,3071,107,2836,-0.68,43.19,14.6
