signal_date,code,name,rank,push_level,emotion_score,observed_days,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,latest_return_pct,best_return_available,return_3d_pct,return_5d_pct,return_10d_pct,max_gain_3d_pct,max_gain_5d_pct,max_gain_10d_pct,reasons,risks,strategy_version
2026-04-29,600522,中天科技,67,不推送,12.0,14,0.06,-3.38,0.2,27.83,34.71,11.96,27.95,28.21,11.96,31.24,34.71,收盘承接较强；站上20日线且不过热；持续霸榜；人气排名明显上升,当日转弱；近5日趋势未确认；热度可能进入后段,v2
2026-04-17,600330,天通股份,9,普通观察,72.0,22,9.99,9.99,9.99,34.65,34.65,19.05,19.14,24.3,19.05,26.69,31.06,人气Top10；当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；人气排名明显上升,量能不足；一字或近似一字，参与点差,v2
2026-04-14,001309,德明利,32,不推送,49.0,25,0.11,0.11,3.87,34.63,34.63,2.61,2.79,-0.85,5.86,7.46,8.85,人气Top50；当日上涨；温和放量；近5日强势延续；连续上榜确认；v2连榜升温修正,短线涨幅偏高；偏离20日线较大,v2
2026-05-06,300136,信维通信,54,不推送,58.0,12,9.6,14.85,17.32,34.5,34.5,30.59,28.48,27.01,31.75,33.53,33.53,当日强涨；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认,-,v2
2026-04-27,300136,信维通信,36,重点观察,78.0,16,-0.58,-1.15,2.78,34.5,34.5,3.15,14.85,15.83,3.92,17.32,33.53,人气Top50；当日强涨；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升；v2连榜升温修正,-,v2
2026-04-15,001309,德明利,91,不推送,3.0,24,-2.23,3.11,5.74,34.48,34.48,2.75,4.75,4.34,7.34,7.34,8.73,温和放量；近5日强势延续；连续上榜确认,收盘承接偏弱；短线涨幅偏高；偏离20日线较大；人气排名明显回落；上影线偏长,v2
2026-04-15,002149,西部材料,32,不推送,52.0,24,-1.14,-0.02,1.55,34.43,34.43,12.36,19.48,7.62,12.36,22.16,24.72,人气Top50；当日强涨；近5日趋势升温；站上20日线且不过热；连续上榜确认,-,v2
2026-04-21,000988,华工科技,90,不推送,14.0,20,-0.69,4.02,4.34,34.43,34.43,-0.83,-0.59,17.55,6.21,6.21,17.73,收盘承接较强；站上20日线且不过热；持续霸榜,近5日趋势未确认；热度可能进入后段；人气排名明显回落,v2
2026-04-10,002328,新朋股份,4,重点观察,85.0,27,9.99,6.43,9.99,0.4,34.32,23.64,28.59,10.78,28.59,34.32,34.32,人气Top10；当日涨停附近；收在日内高位；温和放量；近5日强势延续；首次上榜即强势,短线涨幅偏高；偏离20日线较大,v2
2026-04-14,300308,中际旭创,8,重点观察,86.0,25,1.68,0.77,4.51,34.28,34.28,9.96,11.75,6.6,11.77,13.58,18.89,人气Top10；当日上涨；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升；v2连榜升温修正,-,v2
