snapshot_time,capture_type,code,name,last_price,open,prev_close,current_return_pct,day_high_so_far,day_low_so_far,volume_so_far,amount_so_far,turnover_pct,volume_ratio,source
2026-05-12 09:50:00,intraday_0950,002008,大族激光,128.9,134.2,134.27,-4.0,134.2,128.55,195579.0,2549856990.68,2.04,3.66,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002030,达安基因,7.44,7.15,7.3,1.92,7.79,7.02,1153024.0,860233269.99,8.22,19.6,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002050,三花智控,51.96,51.45,51.21,1.46,52.1,50.78,421876.0,2171381228.37,1.15,2.36,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002081,金 螳 螂,7.46,7.43,7.25,2.9,7.68,7.25,2195552.0,1641556320.32,8.3,4.9,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002108,沧州明珠,6.2,6.43,6.44,-3.73,6.43,6.13,1046747.0,656659239.21,6.35,10.04,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002149,西部材料,77.02,75.46,75.44,2.09,78.87,74.0,269039.0,2070300755.99,5.51,3.36,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002156,通富微电,59.63,61.22,61.22,-2.6,61.28,59.06,446098.0,2669422683.9,2.94,3.07,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002179,中航光电,42.06,41.77,40.61,3.57,42.13,41.03,634344.0,2643932388.46,3.03,13.05,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002185,华天科技,14.44,14.8,14.74,-2.04,14.8,14.31,896905.0,1298728257.9,2.75,4.08,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002202,金风科技,27.55,28.06,28.16,-2.17,28.07,27.43,537839.0,1485384332.28,1.6,2.12,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002217,合力泰,3.51,3.58,3.57,-1.68,3.62,3.45,3242622.0,1147002625.5,4.45,3.62,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002261,拓维信息,34.27,35.18,35.22,-2.7,35.18,34.1,309427.0,1065197359.08,2.7,2.73,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002281,光迅科技,198.0,200.0,198.79,-0.4,204.0,194.8,250936.0,4991415093.68,3.22,3.6,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002297,博云新材,24.53,24.78,25.15,-2.47,25.11,24.26,332824.0,819878173.08,5.81,2.02,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002463,沪电股份,107.48,110.16,108.68,-1.1,110.5,106.65,153095.0,1657736963.38,0.8,2.71,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002475,立讯精密,77.7,77.39,76.06,2.16,77.75,76.08,516676.0,3967889993.12,0.71,2.53,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002491,通鼎互联,25.0,24.5,22.73,9.99,25.0,23.31,1029067.0,2498277622.15,8.75,9.76,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002565,顺灏股份,21.18,21.48,21.79,-2.8,21.73,21.01,442878.0,944468754.68,4.18,2.35,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002580,圣阳股份,33.93,34.59,34.27,-0.99,35.59,33.56,481291.0,1664240964.52,10.64,4.1,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002640,跨境通,4.36,4.6,4.54,-3.96,4.61,4.32,1093887.0,483055819.0,7.07,4.5,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,002709,天赐材料,57.84,59.24,59.56,-2.89,59.8,57.2,357904.0,2088285791.5,2.37,2.31,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,300058,蓝色光标,18.8,18.62,18.93,-0.69,18.88,18.15,1584642.0,2928840977.3,4.56,2.93,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600089,特变电工,28.19,27.98,27.98,0.75,28.3,27.8,630657.0,1770950855.0,1.25,3.55,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600111,北方稀土,55.89,57.9,57.85,-3.39,57.95,55.88,583752.0,3297762496.0,1.61,2.86,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600172,黄河旋风,9.97,10.33,9.78,1.94,10.6,9.93,1743277.0,1779094874.0,13.66,17.57,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600184,光电股份,28.34,29.99,27.28,3.89,29.99,27.83,376871.0,1078582340.0,6.47,9.98,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600186,莲花控股,9.97,10.15,10.3,-3.2,10.21,9.84,689095.0,688626380.0,3.85,1.9,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600198,大唐电信,10.43,10.09,9.72,7.3,10.69,9.98,1017435.0,1060999644.0,7.81,28.61,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600206,有研新材,31.6,32.87,32.87,-3.86,32.87,30.49,351214.0,1107081580.0,4.15,3.46,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600673,东阳光,37.98,38.51,39.02,-2.67,39.05,37.81,349837.0,1339248291.0,1.17,3.46,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600703,三安光电,16.54,16.11,16.04,3.12,16.8,15.95,1516512.0,2489965624.0,3.04,5.38,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600726,华电能源,7.58,7.72,7.8,-2.82,7.78,7.1,1147584.0,858985069.0,1.54,2.6,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600745,*ST闻泰,21.76,21.76,22.9,-4.98,21.76,21.76,11095.0,24142720.0,0.09,1.9,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600759,ST洲际,3.62,3.62,3.81,-4.99,3.62,3.62,99826.0,36137012.0,0.24,23.36,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,600869,远东股份,22.9,21.46,20.82,9.99,22.9,21.31,615739.0,1373268884.0,2.77,6.05,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,601016,节能风电,5.01,5.03,5.12,-2.15,5.13,4.85,2387149.0,1187976317.0,3.95,3.31,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,603399,永杉锂业,23.7,24.77,24.56,-3.5,25.09,23.5,381691.0,917503852.0,7.45,4.13,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,603407,C长裕,78.4,80.0,91.84,-14.63,81.99,76.06,107214.0,846259909.0,29.85,3.61,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,603459,红板科技,98.08,98.08,89.16,10.0,98.08,98.08,6653.0,65255468.0,0.84,0.34,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,603538,美诺华,54.44,56.02,57.33,-5.04,56.5,53.56,206610.0,1135484502.0,8.66,3.26,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,603601,再升科技,17.18,17.95,17.9,-4.02,17.99,17.02,592251.0,1030239537.0,5.18,2.29,eastmoney.single_stock_quote
2026-05-12 09:50:00,intraday_0950,603629,利通电子,162.58,162.82,162.82,-0.15,169.33,158.11,127943.0,2098178928.0,4.96,3.21,eastmoney.single_stock_quote
